iter	Passed	Remaining
550	9949	8107
551	9967	8089
552	9990	8075
553	10033	8077
554	10066	8071
555	10112	8075
556	10160	8080
557	10206	8084
558	10261	8095
559	10298	8091
560	10359	8106
561	10375	8086
562	10402	8074
563	10430	8063
564	10475	8064
565	10592	8122
566	10668	8147
567	10700	8138
568	10728	8126
569	10762	8118
570	10793	8108
571	10813	8091
572	10846	8082
573	10883	8077
574	10934	8081
575	10960	8068
576	10991	8057
577	11019	8045
578	11051	8035
579	11077	8021
580	11106	8010
581	11127	7991
582	11155	7979
583	11186	7968
584	11210	7952
585	11238	7939
586	11259	7921
587	11301	7918
588	11343	7915
589	11419	7935
590	11472	7939
591	11504	7929
592	11540	7920
593	11565	7905
594	11580	7882
595	11592	7858
596	11608	7836
597	11624	7814
598	11638	7791
599	11653	7768
600	11668	7746
601	11682	7723
602	11697	7701
603	11713	7679
604	11728	7657
605	11743	7635
606	11758	7613
607	11772	7589
608	11796	7573
609	11817	7555
610	11837	7536
611	11859	7518
612	11881	7501
613	11903	7483
614	11929	7467
615	11952	7450
616	11975	7433
617	12001	7418
618	12031	7405
619	12052	7386
620	12074	7369
621	12085	7344
622	12152	7353
623	12181	7340
624	12211	7327
625	12228	7305
626	12244	7284
627	12259	7262
628	12280	7243
629	12297	7222
630	12312	7200
631	12327	7178
632	12346	7158
633	12362	7136
634	12384	7118
635	12396	7094
636	12413	7073
637	12428	7051
638	12443	7029
639	12460	7008
640	12474	6986
641	12487	6963
642	12501	6940
643	12512	6916
644	12526	6894
645	12542	6872
646	12556	6851
647	12571	6829
648	12589	6808
649	12607	6788
650	12624	6768
651	12639	6746
652	12653	6724
653	12668	6702
654	12683	6680
655	12700	6660
656	12715	6638
657	12748	6626
658	12797	6621
659	12819	6603
660	12845	6587
661	12867	6569
662	12888	6550
663	12910	6533
664	12930	6513
665	12953	6496
666	12982	6481
667	13010	6466
668	13035	6449
669	13063	6434
670	13086	6416
671	13111	6399
672	13135	6382
673	13162	6366
674	13181	6346
675	13201	6327
676	13224	6309
677	13244	6289
678	13264	6270
679	13287	6252
680	13309	6234
681	13328	6214
682	13348	6195
683	13374	6179
684	13405	6164
685	13433	6148
686	13462	6133
687	13491	6118
688	13514	6100
689	13540	6083
690	13563	6065
691	13589	6048
692	13609	6029
693	13627	6008
694	13653	5991
695	13671	5971
696	13687	5950
697	13703	5928
698	13716	5906
699	13728	5883
700	13742	5861
701	13759	5840
702	13782	5822
703	13809	5806
704	13837	5790
705	13856	5770
706	13884	5754
707	13902	5733
708	13922	5714
709	13939	5693
710	13956	5672
711	13973	5652
712	14041	5652
713	14066	5634
714	14090	5616
715	14116	5599
716	14137	5580
717	14156	5559
718	14182	5542
719	14202	5523
720	14223	5503
721	14247	5485
722	14265	5465
723	14283	5445
724	14300	5424
725	14314	5402
726	14329	5380
727	14341	5358
728	14352	5335
729	14369	5314
730	14385	5293
731	14400	5272
732	14416	5251
733	14430	5229
734	14445	5208
735	14462	5187
736	14483	5168
737	14503	5148
